,City,LocType,NO2,SO2,Sampling.Date,State
103,Hyderabad,Sensitive Area,17.1,4.9,2007-02-25,Andhra Pradesh
104,Hyderabad,Sensitive Area,17.1,4.9,2007-02-27,Andhra Pradesh
105,Hyderabad,Sensitive Area,15.7,4.8,2007-03-15,Andhra Pradesh
106,Hyderabad,Sensitive Area,17.0,4.8,2007-03-17,Andhra Pradesh
107,Hyderabad,Sensitive Area,12.9,4.4,2007-03-18,Andhra Pradesh
108,Hyderabad,Sensitive Area,17.0,4.7,2007-03-21,Andhra Pradesh
109,Hyderabad,Sensitive Area,17.0,4.8,2007-03-23,Andhra Pradesh
110,Hyderabad,Sensitive Area,18.5,4.7,2007-03-27,Andhra Pradesh
111,Hyderabad,Sensitive Area,12.9,4.8,2007-03-31,Andhra Pradesh
112,Hyderabad,Sensitive Area,18.1,4.8,2007-04-15,Andhra Pradesh
113,Hyderabad,Sensitive Area,19.1,4.6,2007-04-17,Andhra Pradesh
114,Hyderabad,Sensitive Area,17.9,4.7,2007-04-21,Andhra Pradesh
115,Hyderabad,Sensitive Area,17.7,4.9,2007-04-27,Andhra Pradesh
116,Hyderabad,Sensitive Area,19.5,4.8,2007-04-29,Andhra Pradesh
117,Hyderabad,Sensitive Area,17.7,4.7,2007-05-15,Andhra Pradesh
118,Hyderabad,Sensitive Area,14.8,4.8,2007-05-17,Andhra Pradesh
119,Hyderabad,Sensitive Area,17.2,4.7,2007-05-21,Andhra Pradesh
120,Hyderabad,Sensitive Area,12.9,4.7,2007-05-23,Andhra Pradesh
121,Hyderabad,Sensitive Area,13.5,4.9,2007-05-27,Andhra Pradesh
122,Hyderabad,Sensitive Area,15.4,4.7,2007-05-29,Andhra Pradesh
123,Hyderabad,Sensitive Area,13.7,4.7,2007-06-15,Andhra Pradesh
124,Hyderabad,Sensitive Area,16.3,4.7,2007-06-17,Andhra Pradesh
125,Hyderabad,Sensitive Area,14.7,4.7,2007-06-21,Andhra Pradesh
126,Hyderabad,Sensitive Area,15.8,4.4,2007-06-23,Andhra Pradesh
127,Hyderabad,Sensitive Area,15.9,4.6,2007-06-27,Andhra Pradesh
128,Hyderabad,Sensitive Area,15.4,4.7,2007-07-15,Andhra Pradesh
129,Hyderabad,Sensitive Area,14.8,4.7,2007-07-17,Andhra Pradesh
130,Hyderabad,Sensitive Area,13.9,4.5,2007-07-23,Andhra Pradesh
131,Hyderabad,Sensitive Area,16.2,4.9,2007-07-27,Andhra Pradesh
132,Hyderabad,Sensitive Area,13.1,4.7,2007-07-29,Andhra Pradesh
133,Hyderabad,Sensitive Area,16.9,4.7,2007-08-17,Andhra Pradesh
134,Hyderabad,Sensitive Area,17.5,4.7,2007-08-21,Andhra Pradesh
135,Hyderabad,Sensitive Area,15.2,4.7,2007-08-23,Andhra Pradesh
136,Hyderabad,Sensitive Area,15.0,4.7,2007-08-27,Andhra Pradesh
137,Hyderabad,Sensitive Area,17.2,4.7,2007-08-29,Andhra Pradesh
138,Hyderabad,Sensitive Area,16.7,4.7,2007-09-15,Andhra Pradesh
139,Hyderabad,Sensitive Area,15.9,4.7,2007-09-17,Andhra Pradesh
140,Hyderabad,Sensitive Area,16.1,4.8,2007-09-21,Andhra Pradesh
141,Hyderabad,Sensitive Area,16.2,4.9,2007-09-23,Andhra Pradesh
142,Hyderabad,Sensitive Area,16.8,4.7,2007-09-27,Andhra Pradesh
143,Hyderabad,Sensitive Area,16.1,4.9,2007-10-15,Andhra Pradesh
144,Hyderabad,Sensitive Area,17.2,4.9,2007-10-17,Andhra Pradesh
145,Hyderabad,Sensitive Area,17.5,4.9,2007-10-20,Andhra Pradesh
146,Hyderabad,Sensitive Area,16.5,4.7,2007-10-23,Andhra Pradesh
147,Hyderabad,Sensitive Area,16.7,4.7,2007-10-27,Andhra Pradesh
148,Hyderabad,Sensitive Area,20.7,4.9,2007-11-15,Andhra Pradesh
149,Hyderabad,Sensitive Area,16.2,4.7,2007-11-17,Andhra Pradesh
150,Hyderabad,Sensitive Area,16.2,4.7,2007-11-21,Andhra Pradesh
151,Hyderabad,Sensitive Area,16.9,4.7,2007-11-23,Andhra Pradesh
152,Hyderabad,Sensitive Area,18.5,4.7,2007-11-27,Andhra Pradesh
