,Unnamed: 0,City,LocType,NO2,SO2,Sampling.Date,State,Scale_SO2,Scale_NO2
78,78,Hyderabad,Sensitive Area,16.2,4.6,2006-02-11,Andhra Pradesh,0.062246278755074415,0.013735443415945058
79,79,Hyderabad,Sensitive Area,15.3,4.4,2006-05-11,Andhra Pradesh,0.05953991880920163,0.01313825022394745
80,80,Hyderabad,Sensitive Area,15.5,4.2,2006-08-11,Andhra Pradesh,0.05683355886332882,0.012541057031949836
81,81,Hyderabad,Sensitive Area,15.1,4.3,2006-11-11,Andhra Pradesh,0.05818673883626522,0.012839653627948642
82,82,Hyderabad,Sensitive Area,15.1,4.4,2006-11-17,Andhra Pradesh,0.05953991880920163,0.01313825022394745
83,83,Hyderabad,Sensitive Area,14.8,4.4,2006-11-21,Andhra Pradesh,0.05953991880920163,0.01313825022394745
84,84,Hyderabad,Sensitive Area,19.0,4.4,2006-11-23,Andhra Pradesh,0.05953991880920163,0.01313825022394745
85,85,Hyderabad,Sensitive Area,16.4,4.8,2006-11-27,Andhra Pradesh,0.06495263870094722,0.01433263660794267
86,86,Hyderabad,Sensitive Area,17.3,4.8,2006-06-12,Andhra Pradesh,0.06495263870094722,0.01433263660794267
87,87,Hyderabad,Sensitive Area,16.5,4.8,2006-09-12,Andhra Pradesh,0.06495263870094722,0.01433263660794267
88,88,Hyderabad,Sensitive Area,12.7,4.6,2006-10-12,Andhra Pradesh,0.062246278755074415,0.013735443415945058
89,89,Hyderabad,Sensitive Area,17.6,4.5,2006-12-12,Andhra Pradesh,0.06089309878213802,0.013436846819946254
90,90,Hyderabad,Sensitive Area,18.8,4.5,2006-12-19,Andhra Pradesh,0.06089309878213802,0.013436846819946254
91,91,Hyderabad,Sensitive Area,15.6,4.6,2006-12-21,Andhra Pradesh,0.062246278755074415,0.013735443415945058
92,92,Hyderabad,Sensitive Area,17.8,4.3,2006-12-25,Andhra Pradesh,0.05818673883626522,0.012839653627948642
93,93,Hyderabad,Sensitive Area,15.7,4.4,2006-12-27,Andhra Pradesh,0.05953991880920163,0.01313825022394745
94,94,Hyderabad,Sensitive Area,17.0,4.4,2006-12-30,Andhra Pradesh,0.05953991880920163,0.01313825022394745
95,95,Hyderabad,Sensitive Area,16.4,4.8,2007-01-17,Andhra Pradesh,0.06495263870094722,0.01433263660794267
96,96,Hyderabad,Sensitive Area,19.0,4.4,2007-01-21,Andhra Pradesh,0.05953991880920163,0.01313825022394745
